loc_code,utcdiff,loc_type,active,location_name,latitude,longitude,town,postcode,country_code,chgover_driving_min,chgover_non_driving_min,dep_debrief_time,arr_debrief_time,remarks,turnaround_min,icon,ctrl_depot,update_on,cluster
WB4,0,Station,1,WELLINGBOROUGH,52.3100852389538,-0.729594979380552,TNT WELLINGBOROUGH,NN8 6TZ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",WB4,,12
ZLX,0,Hub,1,MARSTON GATE ROAD HUB,52.0315633932732,-0.59171329802372,FDX MARSTON GATE ROAD HUB,MK43 0YL,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/red-pin 25px.png', 'width': 25, 'height': 13}",ZLX,,12
MK4,0,Station,1,MILTON KEYNES,52.0517931367885,-0.70922182000373,TNT MILTON KEYNES,MK15 0DQ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",MK4,,12
MS4,0,Station,1,MAIDSTONE,51.2971188037081,0.476004322326279,TNT MAIDSTONE,ME20 7TR,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",MS4,,14
KE4,0,Station,1,AYLESFORD,51.302920443118,0.499275244943768,FDX AYLESFORD,ME20 7BU,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",KE4,,14
LTN,0,Station,1,LUTON,51.9213687563339,-0.480270379655234,TNT LUTON,LU3 3AN,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",LTN,,12
BY4,0,Station,1,BYFLEET,51.3493234517376,-0.47342276585116,TNT BYFLEET,KT14 7JT,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",BY4,,10
TT4,0,Station,1,THETFORD,52.4252503293524,0.747667542139502,FDX THETFORD,IP24 1HZ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",TT4,,8
BK4,0,Station,1,BARKING,51.5238362191324,0.104766767412567,FDX BARKING,IG11 0HZ,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",BK4,,11
AT4,0,Station,1,ALTON,51.1505122821149,-0.960460435471008,TNT ALTON,GU34 2QA,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",AT4,,10
CAL,0,Station,1,CAMBERLEY,51.330550200767,-0.761016951560883,FDX CAMBERLEY,GU15 3 AD,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",CAL,,10
ZLS,0,Station,1,ENFIELD,51.6628399440076,-0.0276280495380602,FDX ENFIELD,EN3 7ER,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",ZLS,,11
DZ5,0,Hub,1,DARTFORD ROAD HUB,51.4496067900205,0.228020993154733,Dartford,DA1 5AH,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/red-pin 25px.png', 'width': 25, 'height': 13}",DZ5,,11
BQH,0,Station,1,CRAYFORD,51.4601155341084,0.195417966445551,FDX CRAYFORD,DA1 4QN,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",BQH,,11
CY4,0,Station,1,CROYDON,51.387697464031,-0.141542754365867,TNT CROYDON,CR0 4TS,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",CY4,,11
S7H,0,Station,1,FDX STANSTED AIR HUB,51.8862684261704,0.251009548089268,Stansted,CM24 1FE,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",S7H,,14
WXF,0,Station,1,CHELMSFORD,51.7301347410167,0.457602457123469,FDX CHELMSFORD,CM1 2QX,GB,10,15,30,30,No remarks,25,"{'path': '/static/pushpins/orange-pin 15px.png', 'width': 15, 'height': 26}",WXF,,14
